,drugname,chembl,canonical
21,"1,12-BENZOPERYLENE",CHEMBL1880376,C1=CC2=C3C(=C1)C4=CC=CC5=C4C6=C(C=C5)C=CC(=C36)C=C2
22,"1,2,3,4-TETRAHYDROISOQUINOLINE",CHEMBL14346,C1CNCC2=CC=CC=C21
23,"1,2,3-TRICHLOROPROPANE",CHEMBL346933,C(C(CCl)Cl)Cl
27,"1,2-BIS(2-AMINOPHENOXY)ETHANE N,N,N',N'-TETRAACETIC ACID ACETOXYMETHYL ESTER",CHEMBL1608767,CC(=O)OCOC(=O)CN(CC(=O)OCOC(=O)C)C1=CC=CC=C1OCCOC2=CC=CC=C2N(CC(=O)OCOC(=O)C)CC(=O)OCOC(=O)C
29,"1,2-BIS(2-AMINOPHENOXY)ETHANE-N,N,N',N'-TETRAACETIC ACID",CHEMBL1590868,C1=CC=C(C(=C1)N(CC(=O)O)CC(=O)O)OCCOC2=CC=CC=C2N(CC(=O)O)CC(=O)O
30,"1,2-DIAMINO-4-NITROBENZENE",CHEMBL433721,C1=CC(=C(C=C1[N+](=O)[O-])N)N
31,"1,2-DIBROMO-2,4-DICYANOBUTANE",CHEMBL3188084,C(CC(CBr)(C#N)Br)C#N
32,"1,2-DIBROMO-4-(1,2-DIBROMOETHYL)CYCLOHEXANE",CHEMBL375107,C1CC(C(CC1C(CBr)Br)Br)Br
33,"1,2-DIHYDROXYBENZENE-3,5-DISULFONIC ACID DISODIUM SALT",CHEMBL110526,C1=C(C=C(C(=C1O)O)S(=O)(=O)[O-])S(=O)(=O)[O-].[Na+].[Na+]
34,"1,2-DIHYDROXYBENZENE-3,5-DISULFONIC ACID DISODIUM SALT",CHEMBL1205542,C1=C(C=C(C(=C1O)O)S(=O)(=O)O)S(=O)(=O)O
39,"1,2-DIMETHYLHYDRAZINE",CHEMBL162921,CNNC
40,"1,2-DIMETHYLHYDRAZINE",CHEMBL2286715,CN(C(=O)C1=CC=CC=C1)N(C)C(=O)C2=CC=CC=C2
42,"1,2-DIOLEOYLOXY-3-(TRIMETHYLAMMONIUM)PROPANE",CHEMBL1180576,CCCCCCCCC=CCCCCCCCC(=O)OCC(C[N+](C)(C)C)OC(=O)CCCCCCCC=CCCCCCCCC
45,"1,2-DIPALMITOYLPHOSPHATIDYLCHOLINE",CHEMBL1200737,CCCCCCCCCCCCCCCC(=O)OCC(COP(=O)([O-])OCC[N+](C)(C)C)OC(=O)CCCCCCCCCCCCCCC
46,"1,2-DITHIOL-3-THIONE",CHEMBL368700,C1=CSSC1=S
47,"1,2-NAPHTHOQUINONE",CHEMBL52347,C1=CC=C2C(=C1)C=CC(=O)C2=O
55,"1,3,5,6-TETRAHYDROXYXANTHONE",CHEMBL448040,C1=CC(=C(C2=C1C(=O)C3=C(C=C(C=C3O2)O)O)O)O
57,"1,3-BIS(4-HYDROXYPHENYL)-4-METHYL-5-(4-(2-PIPERIDINYLETHOXY)PHENOL)-1H-PYRAZOLE",CHEMBL520107,CC1=C(N(N=C1C2=CC=C(C=C2)O)C3=CC=C(C=C3)O)C4=CC=C(C=C4)OCCN5CCCCC5
58,"1,3-BUTADIENE",CHEMBL537970,C=CC=C
61,"1,3-DIACETOXYTETRADECA-6,12-DIEN-8,10-DIYNE",CHEMBL250082,CC=CC#CC#CC=CCCC(CCOC(=O)C)OC(=O)C
62,"1,3-DICHLORO-2-PROPANOL",CHEMBL468581,C(C(CCl)O)Cl
63,"1,3-DIHYDRO-1-(1-((4-(6-PHENYL-1H-IMIDAZO(4,5-G)QUINOXALIN-7-YL)PHENYL)METHYL)-4-PIPERIDINYL)-2H-BENZIMIDAZOL-2-ONE",CHEMBL258844,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CC4=CC=C(C=C4)C5=C(N=C6C=C7C(=NC=N7)C=C6N5)C8=CC=CC=C8
64,"1,3-DIMETHYLTHIOUREA",CHEMBL3189044,CNC(=S)NC
65,"1,4-BIS(2-(3,5-DICHLOROPYRIDYLOXY))BENZENE",CHEMBL488803,C1=CC(=CC=C1OC2=C(C=C(C=N2)Cl)Cl)OC3=C(C=C(C=N3)Cl)Cl
66,"1,4-NAPHTHOQUINONE",CHEMBL55934,C1=CC=C2C(=O)C=CC(=O)C2=C1
67,"1,5-ANHYDROFRUCTOSE",CHEMBL1234723,C1C(=O)C(C(C(O1)CO)O)O
69,"1,6-HEXAMETHYLENE DIISOCYANATE",CHEMBL1896533,C(CCCN=C=O)CCN=C=O
70,"1,7-DIMETHYLXANTHINE",CHEMBL1158,CN1C=NC2=C1C(=O)N(C(=O)N2)C
71,1-((1-O-OCTADECYL-2-O-METHYLGLYCERO)PHOSPHO)-3-DEOXY-MYO-INOSITOL,CHEMBL1685066,CCCCCCCCCCCCCCCCCCOCC(COP(=O)(O)OC1C(CC(C(C1O)O)O)O)OC
72,1-((4-METHYLSULFONYL)PHENYL)-3-TRIFLUOROMETHYL-5-(4-FLUOROPHENYL)PYRAZOLE,CHEMBL274990,CS(=O)(=O)C1=CC=C(C=C1)N2C(=CC(=N2)C(F)(F)F)C3=CC=C(C=C3)F
73,1-(1-ACETYL-PIPERIDINE-4-YL)-3-ADAMANTAN-1-YL-UREA,CHEMBL436774,CC(=O)N1CCC(CC1)NC(=O)NC23CC4CC(C2)CC(C4)C3
74,"1-(2-((1-(4-AMINO-3-CHLOROPHENYL)METHANOYL)AMINO)-3,3-DIMETHYLBUTANOYL)PYRROLIDINE-2-CARBOXYLIC ACID",CHEMBL2107819,CCOC1C(CC(=O)O1)NC(=O)C2CCCN2C(=O)C(C(C)(C)C)NC(=O)C3=CC(=C(C=C3)N)Cl
75,1-(2-(1-ADAMANTYL)ETHYL)-1-PENTYL-3-(3-(4-PYRIDYL)PROPYL)UREA,CHEMBL1210507,CCCCCN(CCC12CC3CC(C1)CC(C3)C2)C(=O)NCCCC4=CC=NC=C4
76,1-(2-BROMOPHENYL)-3-(7-CYANO-3H-BENZOTRIAZOL-4-YL)UREA,CHEMBL38182,C1=CC=C(C(=C1)NC(=O)NC2=CC=C(C3=NNN=C23)C#N)Br
77,"1-(2-CYANO-3,12-DIOXOOLEANA-1,9-DIEN-28-OYL) IMIDAZOLE",CHEMBL1720855,CC1(CCC2(CCC3(C(C2C1)C(=O)C=C4C3(CCC5C4(C=C(C(=O)C5(C)C)C#N)C)C)C)C(=O)N6C=CN=C6)C
79,1-(4-ETHOXYPHENYL)-3-(4-NITROPHENYL)-PROP-2-EN-1-ONE,CHEMBL138676,CCOC1=CC=C(C=C1)C(=O)C=CC2=CC=C(C=C2)[N+](=O)[O-]
82,"1-(6-((3-METHOXYESTRA-1,3,5(10)-TRIEN-17-YL)AMINO)HEXYL)-1H-PYRROLE-2,5-DIONE",CHEMBL1256678,CC12CCC3C(C1CCC2NCCCCCCN4C(=O)C=CC4=O)CCC5=C3C=CC(=C5)OC
85,1-3-METHYLBUTYRYL-N4-6-AMINOHEXANOYL-PIPERAZINE,CHEMBL3734977,CC(C)CC(=O)N1CCN(CC1)C(=O)CCCCCN
86,1-AMINOPYRENE,CHEMBL400756,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)N
87,1-BROMOPROPANE,CHEMBL1230095,CCCBr
91,1-CARBOXYHEPTYLIMIDAZOLE,CHEMBL1191015,C1=CN(C=N1)CCCCCCCC(=O)O
95,1-HYDROXY-2-NAPHTHOIC ACID,CHEMBL229299,C1=CC=C2C(=C1)C=CC(=C2O)C(=O)O
100,"1-METHYL-4-PHENYL-1,2,3,6-TETRAHYDROPYRIDINE",CHEMBL24172,CN1CCC(=CC1)C2=CC=CC=C2
101,1-METHYL-4-PHENYLPYRIDINIUM,CHEMBL109074,C1=CC=C(C=C1)C2=CC=NC=C2
102,1-METHYL-4-PHENYLPYRIDINIUM,CHEMBL311617,C[N+]1=CC=C(C=C1)C2=CC=CC=C2
104,1-METHYLFLUORENE,CHEMBL1797283,CC1=C2CC3=CC=CC=C3C2=CC=C1
109,1-NAPHTHYLACETYLSPERMINE,CHEMBL25101,C1=CC=C2C(=C1)C=CC=C2CC(=O)NCCCNCCCCNCCCN
111,1-NAPHTHYLISOTHIOCYANATE,CHEMBL1381098,C1=CC=C2C(=C1)C=CC=C2N=C=S
112,1-NITRONAPHTHALENE,CHEMBL165373,C1=CC=C2C(=C1)C=CC=C2[N+](=O)[O-]
113,1-NITROPROPANE,CHEMBL1449933,CCC[N+](=O)[O-]
114,1-NITROPYRENE,CHEMBL167395,C1=CC2=C3C(=C1)C=CC4=C(C=CC(=C43)C=C2)[N+](=O)[O-]
115,"1-O-(2-((2',6'-DICHLOROPHENYL)AMINO)PHENYLACETYL)GLUCOPYRANURONIC ACID",CHEMBL3527338,C1=CC=C(C(=C1)CC(=O)OC2C(C(C(C(O2)C(=O)O)O)O)O)NC3=C(C=CC=C3Cl)Cl
116,"1-O-(2-(2,3-DIMETHYLPHENYL)AMINOBENZOYL)GLUCOPYRANURONIC ACID",CHEMBL3527501,CC1=C(C(=CC=C1)NC2=CC=CC=C2C(=O)OC3C(C(C(C(O3)C(=O)O)O)O)O)C
119,1-OCTANOL,CHEMBL26215,CCCCCCCCO
121,1-OLEOYL-2-ACETOYL-SN-GLYCEROL,CHEMBL1591456,CCCCCCCCC=CCCCCCCCC(=O)OCC(CO)OC(=O)C
124,10-NITRO-OLEIC ACID,CHEMBL561371,CCCCCCCCC(=CCCCCCCCC(=O)O)[N+](=O)[O-]
126,11-DEHYDROCORTICOSTERONE,CHEMBL3244489,CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4C(=O)CO)C
128,11-DEHYDROCORTICOSTERONE,CHEMBL138700,CC12CCC(=O)C=C1CCC3C2C(=O)CC4(C3CCC4C(=O)CO)C
132,11-DEOXYPROSTAGLANDIN E1,CHEMBL3246389,CCCCCC(C=CC1CCC(=O)C1CCCCCCC(=O)O)O
133,11-DEOXYPROSTAGLANDIN E1,CHEMBL3246359,CCCCCC(C=CC1CCC(=O)C1CCCCCCC(=O)O)O
138,12-(3-ADAMANTAN-1-YLUREIDO)DODECANOIC ACID,CHEMBL215387,C1C2CC3CC1CC(C2)(C3)NC(=O)NCCCCCCCCCCCC(=O)O
139,12-METHYLBENZANTHRACENE,CHEMBL1797284,CC1=C2C(=CC3=CC=CC=C13)C=CC4=CC=CC=C42
146,"14,15-EPOXY-5,8,11-EICOSATRIENOIC ACID",CHEMBL269319,CCCCCC1C(O1)CC=CCC=CCC=CCCCC(=O)O
147,"14,15-EPOXY-5,8,11-EICOSATRIENOIC ACID",CHEMBL245466,CCCCCC1C(O1)CC=CCC=CCC=CCCCC(=O)O
151,"14-DEOXY-11,12-DIDEHYDROANDROGRAPHOLIDE",CHEMBL361568,CC12CCC(C(C1CCC(=C)C2C=CC3=CCOC3=O)(C)CO)O
153,"14-DEOXY-11,12-DIDEHYDROANDROGRAPHOLIDE",CHEMBL1326087,CC12CCC(C(C1CCC(=C)C2C=CC3=CCOC3=O)(C)CO)O
154,"14-DEOXY-11,12-DIDEHYDROANDROGRAPHOLIDE",CHEMBL415768,CC12CCC(C(C1CCC(=C)C2CCC3=CCOC3=O)(C)CO)O
158,"15,16-DIHYDROTANSHINONE I",CHEMBL1358724,CC1COC2=C1C(=O)C(=O)C3=C2C=CC4=C(C=CC=C43)C
159,"15,16-DIHYDROTANSHINONE I",CHEMBL227075,CC1COC2=C1C(=O)C(=O)C3=C2C=CC4=C(C=CC=C43)C
162,15-ACETYLDEOXYNIVALENOL,CHEMBL468823,CC1=CC2C(C(C1=O)O)(C3(CC(C(C34CO4)O2)O)C)COC(=O)C
169,15-DEOXYPROSTAGLANDIN J2,CHEMBL3105785,CCCCCCC=CC1C(C=CC1=O)CC=CCCCC(=O)O
170,"15-HYDROXY-11 ALPHA,9 ALPHA-(EPOXYMETHANO)PROSTA-5,13-DIENOIC ACID",CHEMBL521784,CCCCCC(C=CC1C2CC(C1CC=CCCCC(=O)O)CO2)O
176,"15-KETO-5,8,11,13-EICOSATETRAENOIC ACID",CHEMBL418941,CCCCCC(=O)C=CC=CCC=CCC=CCCCC(=O)O
180,"16,16-DIMETHYLPROSTAGLANDIN E2",CHEMBL1221529,CCCCC(C)(C)C(C=CC1C(CC(=O)C1CC=CCCCC(=O)O)O)O
186,17 ALPHA-HYDROXYPROGESTERONE CAPROATE,CHEMBL1200848,CCCCCC(=O)OC1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)C(=O)C
188,17-(DIMETHYLAMINOETHYLAMINO)-17-DEMETHOXYGELDANAMYCIN,CHEMBL1909426,CC1CC(C(C(C=C(C(C(C=CC=C(C(=O)NC2=CC(=O)C(=C(C1)C2=O)NCCN(C)C)C)OC)OC(=O)N)C)C)O)OC
190,17-ALPHA-HYDROXYPROGESTERONE,CHEMBL1062,CC(=O)C1(CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C)O
191,"17-ETHYNYL-5-ANDROSTENE-3, 7, 17-TRIOL",CHEMBL4297284,CC12CCC(CC1=CC(C3C2CCC4(C3CCC4(C#C)O)C)O)O
196,17-HYDROXYJOLKINOLIDE B,CHEMBL1992827,CC1(CCCC2(C1CCC34C2C5C6(O5)C(=C(C(=O)O6)CO)C3O4)C)C
197,18ALPHA-GLYCYRRHETINIC ACID,CHEMBL1863561,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
198,18ALPHA-GLYCYRRHETINIC ACID,CHEMBL230006,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
199,18ALPHA-GLYCYRRHETINIC ACID,CHEMBL454067,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
201,18ALPHA-GLYCYRRHETINIC ACID,CHEMBL378653,CC1(C2CCC3(C(C2(CCC1O)C)C(=O)C=C4C3(CCC5(C4CC(CC5)(C)C(=O)O)C)C)C)C
205,"1H-(1,2,4)OXADIAZOLO(4,3-A)QUINOXALIN-1-ONE",CHEMBL598952,C1=CC=C2C(=C1)N=CC3=NOC(=O)N23
206,2''-GALLOYLHYPERIN,CHEMBL505880,C1=CC(=C(C=C1C2=C(C(=O)C3=C(C=C(C=C3O2)O)O)OC4C(C(C(C(O4)CO)O)O)OC(=O)C5=CC(=C(C(=C5)O)O)O)O)O
207,"2',3,3',4',5-PENTACHLORO-4-HYDROXYBIPHENYL",CHEMBL1234676,C1=CC(=C(C(=C1C2=CC(=C(C(=C2)Cl)O)Cl)Cl)Cl)Cl
208,"2',4'-DIHYDROXY-6'-METHOXY-3',5'-DIMETHYLCHALCONE",CHEMBL463095,CC1=C(C(=C(C(=C1O)C(=O)C=CC2=CC=CC=C2)OC)C)O
210,2'-HYDROXYCHALCONE,CHEMBL1867065,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2O
211,2'-HYDROXYCHALCONE,CHEMBL32147,C1=CC=C(C=C1)C=CC(=O)C2=CC=CC=C2O
214,"2,2',4,4',5-BROMINATED DIPHENYL ETHER",CHEMBL374400,C1=CC(=C(C=C1Br)Br)OC2=CC(=C(C=C2Br)Br)Br
215,"2,2',4,4'-TETRABROMODIPHENYL ETHER",CHEMBL229760,C1=CC(=C(C=C1Br)Br)OC2=C(C=C(C=C2)Br)Br
217,"2,2'-(HYDROXYNITROSOHYDRAZONO)BIS-ETHANAMINE",CHEMBL136200,C(CN(CCN)[N+](=NO)[O-])N
218,"2,2'-AZOBIS(2-AMIDINOPROPANE)",CHEMBL1619966,CC(C)(C(=N)N)N=NC(C)(C)C(=N)N
220,"2,2,2-TRICHLOROETHANOL",CHEMBL1171,C(C(Cl)(Cl)Cl)O
221,"2,2,5,7,8-PENTAMETHYL-1-HYDROXYCHROMAN",CHEMBL37676,CC1=C(C2=C(CCC(O2)(C)C)C(=C1O)C)C
222,"2,2-BIS(4-GLYCIDYLOXYPHENYL)PROPANE",CHEMBL258558,CC(C)(C1=CC=C(C=C1)OCC2CO2)C3=CC=C(C=C3)OCC4CO4
223,"2,2-BIS(4-HYDROXYPHENYL)-1,1,1-TRICHLOROETHANE",CHEMBL196585,C1=CC(=CC=C1C(C2=CC=C(C=C2)O)C(Cl)(Cl)Cl)O
224,"2,2-DICHLOROACETYL CHLORIDE",CHEMBL449486,C(C(=O)Cl)(Cl)Cl
226,"2,3',4,4',5-PENTACHLOROBIPHENYL",CHEMBL137264,C1=CC(=C(C=C1C2=CC(=C(C=C2Cl)Cl)Cl)Cl)Cl
228,"2,3,5,6-TETRACHLOROHYDROQUINONE",CHEMBL2074639,C1(=C(C(=C(C(=C1Cl)Cl)O)Cl)Cl)O
231,"2,3,7,8-TETRACHLORODIBENZOFURAN",CHEMBL136710,C1=C2C3=CC(=C(C=C3OC2=CC(=C1Cl)Cl)Cl)Cl
233,"2,3-BIS(3'-HYDROXYBENZYL)BUTYROLACTONE",CHEMBL465152,C1C(C(C(=O)O1)CC2=CC(=CC=C2)O)CC3=CC(=CC=C3)O
235,"2,3-DIMETHOXY-1,4-NAPHTHOQUINONE",CHEMBL402468,COC1=C(C(=O)C2=CC=CC=C2C1=O)OC
236,"2,3-PENTANEDIONE",CHEMBL192809,CCC(=O)C(=O)C
237,"2,3-PENTANEDIONE",CHEMBL96425,CC1=NC=CN=C1C
238,"2,4,3',5'-TETRAMETHOXYSTILBENE",CHEMBL46909,COC1=CC(=C(C=C1)C=CC2=CC(=CC(=C2)OC)OC)OC
240,"2,4,5,2',4',5'-HEXACHLOROBIPHENYL",CHEMBL14377,C1=C(C(=CC(=C1Cl)Cl)Cl)C2=CC(=C(C=C2Cl)Cl)Cl
241,"2,4,5,2',5'-PENTACHLOROBIPHENYL",CHEMBL14041,C1=CC(=C(C=C1Cl)C2=CC(=C(C=C2Cl)Cl)Cl)Cl
242,"2,4,6-TRICHLOROPHENYL 4-NITROPHENYL ETHER",CHEMBL561004,C1=CC(=CC=C1[N+](=O)[O-])OC2=C(C=C(C=C2)Cl)Cl
245,"2,4-DECADIENAL",CHEMBL443949,CCCCCC=CC=CC=O
246,"2,4-DI-TERT-BUTYLPHENOL",CHEMBL29873,CC(C)(C)C1=CC(=C(C=C1)O)C(C)(C)C
248,"2,4-DIAMINOTOLUENE",CHEMBL541230,CC1=C(C=C(C=C1)N)N
249,"2,4-DICHLOROPHENOXYACETIC ACID",CHEMBL367623,C1=CC(=C(C=C1Cl)Cl)OCC(=O)O
252,"2,4-DICHLOROPHENOXYACETIC ACID",CHEMBL2271245,C1=CC(=C(C=C1Cl)Cl)OCC(=O)[O-].[Na+]
254,"2,4-DINITROBENZENESULFONIC ACID",CHEMBL3303302,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)O
255,"2,4-DINITROBENZENESULFONIC ACID",CHEMBL3186002,C1=CC(=C(C=C1[N+](=O)[O-])[N+](=O)[O-])S(=O)(=O)O.O.O
258,"2,4-DINITROTOLUENE",CHEMBL259865,CC1=C(C=C(C=C1)[N+](=O)[O-])[N+](=O)[O-]
260,"2,4-THIAZOLIDINEDIONE",CHEMBL14688,CO
261,"2,4-THIAZOLIDINEDIONE",CHEMBL85398,C1C(=O)NC(=O)S1
262,"2,5,2',5'-TETRACHLOROBIPHENYL",CHEMBL273933,C1=CC(=C(C=C1Cl)C2=C(C=CC(=C2)Cl)Cl)Cl
264,"2,5-DIMETHYL-4-BENZOQUINONE",CHEMBL150457,CC1=CC(=O)C(=CC1=O)C
265,"2,5-DIMETHYLCELECOXIB",CHEMBL2163630,CC1=CC(=C(C=C1)C)C2=CC(=NN2C3=CC=C(C=C3)S(=O)(=O)N)C(F)(F)F
267,"2,5-HEXANEDIONE",CHEMBL1564795,CC(=O)CCC(=O)C
268,"2,6-DIAMINOHEXANOIC ACID (4-(5-FLUOROBENZOTHIAZOL-2-YL)-2-METHYLPHENYL)AMIDE",CHEMBL1998534,CC1=C(C=CC(=C1)C2=NC3=C(S2)C=CC(=C3)F)NC(=O)C(CCCCN)N.Cl
269,"2,6-DIAMINOPYRIDINE-3,5-BIS(THIOCYANATE)",CHEMBL4303622,C1=C(C(=NC(=C1SC#N)N)N)SC#N
270,"2,6-DIAMINOTOLUENE",CHEMBL1489438,CC1=C(C=CC=C1N)N
271,"2,6-DICHLOROINDOPHENOL",CHEMBL198157,C1=CC(=O)C=CC1=NC2=CC(=C(C(=C2)Cl)O)Cl
272,"2,6-DICHLOROINDOPHENOL",CHEMBL1476089,C1=CC(=CC=C1N=C2C=C(C(=O)C(=C2)Cl)Cl)[O-].[Na+]
273,"2,6-DINITROTOLUENE",CHEMBL1328508,CC1=C(C=CC=C1[N+](=O)[O-])[N+](=O)[O-]
274,"2,7-DIHYDROXYNAPHTHALENE",CHEMBL205165,C1=CC(=CC2=C1C=CC(=C2)O)O
275,"2,7-DIOXO-2,7-DIHYDRO-3H-NAPHTHO(1,2,3-DE)QUINOLINE-1-CARBOXYLATE",CHEMBL1345690,CCOC(=O)C1=C2C3=CC=CC=C3C(=O)C4=C2C(=CC=C4)NC1=O
276,2-((AMINOCARBONYL)AMINO)-5-(4-FLUOROPHENYL)-3-THIOPHENECARBOXAMIDE,CHEMBL257167,C1=CC(=CC=C1C2=CC(=C(S2)NC(=O)N)C(=O)N)F
277,"2-((DIMETHYLAMINO)METHYL)-9-HYDROXYTHIENO(2,3-C)ISOQUINOLIN-5(4H)-ONE",CHEMBL3301716,CN(C)CC1=CC2=C(S1)NC(=O)C3=C2C(=CC=C3)O
278,2-(1'H-INDOLE-3'-CARBONYL)THIAZOLE-4-CARBOXYLIC ACID METHYL ESTER,CHEMBL1324296,COC(=O)C1=CSC(=N1)C(=O)C2=CNC3=CC=CC=C32
279,"2-(1,3-DIMETHYL-2,6-DIOXO-1,2,3,6-TETRAHYDRO-7H-PURIN-7-YL)-N-(4-ISOPROPYLPHENYL)ACETAMIDE",CHEMBL1086310,CC(C)C1=CC=C(C=C1)NC(=O)CN2C=NC3=C2C(=O)N(C(=O)N3C)C
280,2-(1-(3-DIMETHYLAMINOPROPYL)-5-METHOXYINDOL-3-YL)-3-(1H-INDOL-3-YL)MALEIMIDE,CHEMBL261491,CN(C)CCCN1C=C(C2=C1C=CC(=C2)OC)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54
281,"2-(1H-INDAZOL-4-YL)-6-(4-METHANESULFONYLPIPERAZIN-1-YLMETHYL)-4-MORPHOLIN-4-YLTHIENO(3,2-D)PYRIMIDINE",CHEMBL521851,CS(=O)(=O)N1CCN(CC1)CC2=CC3=C(S2)C(=NC(=N3)C4=C5C=NNC5=CC=C4)N6CCOCC6
282,"2-(2,6-DIISOPROPYLPHENYL)-5-HYDROXY-1H-ISOINDOLE-1,3-DIONE",CHEMBL313952,CC(C)C1=C(C(=CC=C1)C(C)C)N2C(=O)C3=C(C2=O)C=C(C=C3)O
284,2-(2-AMINO-3-METHOXYPHENYL)-4H-1-BENZOPYRAN-4-ONE,CHEMBL35482,COC1=CC=CC(=C1N)C2=CC(=O)C3=CC=CC=C3O2
285,2-(2-AMINOETHYL)PYRIDINE,CHEMBL32813,C1=CC=NC(=C1)CCN
286,"2-(2-CHLORO-4-IODOPHENYLAMINO)-N-CYCLOPROPYLMETHOXY-3,4-DIFLUOROBENZAMIDE",CHEMBL105442,C1CC1CONC(=O)C2=C(C(=C(C=C2)F)F)NC3=C(C=C(C=C3)I)Cl
289,"2-(4-((DIMETHYLAMINO)CARBONYL)-3-FLUOROPHENYL)-ALPHA,ALPHA-DIMETHYL-N-1,3,4-THIADIAZOL-2-YL-5H-(1)BENZOPYRANO(2,3-B)PYRIDIN-5-ACETAMIDE",CHEMBL1911272,CC(C)(C1C2=C(N=C(C=C2)C3=CC(=C(C=C3)C(=O)N(C)C)F)OC4=CC=CC=C14)C(=O)NC5=NN=CS5
290,2-(4-(2-CARBOXYETHYL)PHENETHYLAMINO)-5'-N-ETHYLCARBOXAMIDOADENOSINE,CHEMBL331372,CCNC(=O)C1C(C(C(O1)N2C=NC3=C(N=C(N=C32)NCCC4=CC=C(C=C4)CCC(=O)O)N)O)O
291,2-(4-(2-CARBOXYETHYL)PHENETHYLAMINO)-5'-N-ETHYLCARBOXAMIDOADENOSINE,CHEMBL537419,CCNC(=O)C1C(C(C(O1)N2C=NC3=C(N=C(N=C32)NCCC4=CC=C(C=C4)CCC(=O)O)N)O)O.Cl
293,2-(4-AMINO-3-METHYLPHENYL)-5-FLUOROBENZOTHIAZOLE,CHEMBL286593,CC1=C(C=CC(=C1)C2=NC3=C(S2)C=CC(=C3)F)N
294,"2-(4-CHLORO-6-(2,3-DIMETHYLPHENYLAMINO)PYRIMIDIN-2-YLTHIO)OCTANOIC ACID",CHEMBL518038,CCCCCCC(C(=O)O)SC1=NC(=CC(=N1)Cl)NC2=CC=CC(=C2C)C
296,2-(4-ISOBUTYLPHENYL)PROPIONYLMETHANESULFONAMIDE,CHEMBL191413,CC(C)CC1=CC=C(C=C1)C(C)C(=O)NS(=O)(=O)C
298,2-(4-NITROPHENYL)-4-(4-FLUOROPHENYL)-5-(4-PYRIDINYL)-1H-IMIDAZOLE,CHEMBL17331,C1=CC(=CC=C1C2=NC(=C(N2)C3=CC=NC=C3)C4=CC=C(C=C4)F)[N+](=O)[O-]
