,drugbank_id,drugname,canonical
37,DB01786,METHIONINE,CC(C(=O)O)N
38,DB00162,RETINOL ACETATE,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C
39,DB00162,RETINOL PALMITATE,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C
40,DB00162,VITAMIN A,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C
41,DB00162,ZINEB,CC1=C(C(CCC1)(C)C)C=CC(=CC=CC(=CCO)C)C
42,DB00163,ALPHA-TOCOPHEROL,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C
43,DB00163,VITAMIN E,CC1=C(C2=C(CCC(O2)(C)CCCC(C)CCCC(C)CCCC(C)C)C(=C1O)C)C
44,DB00166,THIOCTIC ACID,C1CSSC1CCCCC(=O)O
45,DB00168,ASPARTAME,COC(=O)C(CC1=CC=CC=C1)NC(=O)C(CC(=O)O)N
46,DB00169,CHOLECALCIFEROL,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
47,DB00169,VITAMIN D,CC(C)CCCC(C)C1CCC2C1(CCCC2=CC=C3CC(CCC3=C)O)C
48,DB00170,VITAMIN K 3,CC1=CC(=O)C2=CC=CC=C2C1=O
49,DB00173,2-AMINOPURINE,C1=NC2=NC=NC(=C2N1)N
50,DB00173,ADENINE,C1=NC2=NC=NC(=C2N1)N
51,DB00173,ADENOSINE,C1=NC2=NC=NC(=C2N1)N
52,DB00175,PRAVASTATIN,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC(CC(CC(=O)O)O)O)O
53,DB00177,VALSARTAN,CCCCC(=O)N(CC1=CC=C(C=C1)C2=CC=CC=C2C3=NNN=N3)C(C(C)C)C(=O)O
54,DB00178,RAMIPRIL,CCOC(=O)C(CCC1=CC=CC=C1)NC(C)C(=O)N2C3CCCC3CC2C(=O)O
55,DB00179,MASOPROCOL,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O
56,DB00179,TETRAHYDROCURCUMIN,CC(CC1=CC(=C(C=C1)O)O)C(C)CC2=CC(=C(C=C2)O)O
57,DB00180,FLUNISOLIDE,CC1(OC2CC3C4CC(C5=CC(=O)C=CC5(C4C(CC3(C2(O1)C(=O)CO)C)O)C)F)C
58,DB00181,BACLOFEN,C1=CC(=CC=C1C(CC(=O)O)CN)Cl
59,DB00182,AMPHETAMINE,CC(CC1=CC=CC=C1)N
60,DB00182,DEXTROAMPHETAMINE,CC(CC1=CC=CC=C1)N
61,DB00184,NICOTINE,CN1CCCC1C2=CN=CC=C2
62,DB00188,BORTEZOMIB,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O
63,DB07475,BORTEZOMIB,B(C(CC(C)C)NC(=O)C(CC1=CC=CC=C1)NC(=O)C2=NC=CN=C2)(O)O
64,DB00193,TRAMADOL,CN(C)CC1CCCCC1(C2=CC(=CC=C2)OC)O
65,DB00194,ADENOSINE,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
66,DB00197,TROGLITAZONE,CC1=C(C2=C(CCC(O2)(C)COC3=CC=C(C=C3)CC4C(=O)NC(=O)S4)C(=C1O)C)C
67,DB00198,OSELTAMIVIR,CCC(CC)OC1C=C(CC(C1NC(=O)C)N)C(=O)OCC
68,DB00199,ERYTHROMYCIN,CCC1C(C(C(C(=O)C(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)O)(C)O
69,DB00201,CAFFEINE,CN1C=NC2=C1C(=O)N(C(=O)N2C)C
70,DB00205,PYRIMETHAMINE,CCC1=C(C(=NC(=N1)N)N)C2=CC=C(C=C2)Cl
71,DB00206,RESERPINE,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC
72,DB00207,AZITHROMYCIN,CCC1C(C(C(N(CC(CC(C(C(C(C(C(=O)O1)C)OC2CC(C(C(O2)C)O)(C)OC)C)OC3C(C(CC(O3)C)N(C)C)O)(C)O)C)C)C)O)(C)O
73,DB00210,ADAPALENE,COC1=C(C=C(C=C1)C2=CC3=C(C=C2)C=C(C=C3)C(=O)O)C45CC6CC(C4)CC(C6)C5
74,DB00214,TORSEMIDE,CC1=CC(=CC=C1)NC2=C(C=NC=C2)S(=O)(=O)NC(=O)NC(C)C
75,DB00218,MOXIFLOXACIN,COC1=C2C(=CC(=C1N3CC4CCCNC4C3)F)C(=O)C(=CN2C5CC5)C(=O)O
76,DB00220,NELFINAVIR,CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O
77,DB05251,NELFINAVIR,CC1=C(C=CC=C1O)C(=O)NC(CSC2=CC=CC=C2)C(CN3CC4CCCCC4CC3C(=O)NC(C)(C)C)O
78,DB00223,DIFLORASONE,CC1CC2C3CC(C4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C)F
79,DB00224,INDINAVIR,CC(C)(C)NC(=O)C1CN(CCN1CC(CC(CC2=CC=CC=C2)C(=O)NC3C(CC4=CC=CC=C34)O)O)CC5=CN=CC=C5
80,DB00227,LOVASTATIN,CCC(C)C(=O)OC1CC(C=C2C1C(C(C=C2)C)CCC3CC(CC(=O)O3)O)C
81,DB00228,ENFLURANE,C(C(OC(F)F)(F)F)(F)Cl
82,DB00230,PREGABALIN,CC(C)CC(CC(=O)O)CN
83,DB00233,MESALAMINE,C1=CC(=C(C=C1N)O)C(=O)O
84,DB00234,REBOXETINE,CCOC1=CC=CC=C1OC(C2CNCCO2)C3=CC=CC=C3
85,DB00235,MILRINONE,CC1=C(C=C(C(=O)N1)C#N)C2=CC=NC=C2
86,DB00238,NEVIRAPINE,CC1=C2C(=NC=C1)N(C3=C(C=CC=N3)C(=O)N2)C4CC4
87,DB00240,ALCLOMETASONE DIPROPIONATE,CC1CC2C3C(CC4=CC(=O)C=CC4(C3C(CC2(C1(C(=O)CO)O)C)O)C)Cl
88,DB00242,CLADRIBINE,C1C(C(OC1N2C=NC3=C(N=C(N=C32)Cl)N)CO)O
89,DB00243,METOPROLOL,CC1=C(C(=CC=C1)C)NC(=O)CN2CCN(CC2)CC(COC3=CC=CC=C3OC)O
90,DB00244,MESALAMINE,C1=CC(=C(C=C1N)C(=O)O)O
91,DB00250,DAPSONE,C1=CC(=CC=C1N)S(=O)(=O)C2=CC=C(C=C2)N
92,DB00252,NALIDIXIC ACID,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
93,DB00252,PHENYTOIN,C1=CC=C(C=C1)C2(C(=O)NC(=O)N2)C3=CC=CC=C3
94,DB00254,DOXYCYCLINE,CC1C2C(C3C(C(=O)C(=C(C3(C(=O)C2=C(C4=C1C=CC=C4O)O)O)O)C(=O)N)N(C)C)O
95,DB00255,DIETHYLSTILBESTROL,CCC(=C(CC)C1=CC=C(C=C1)O)C2=CC=C(C=C2)O
96,DB00257,CLOTRIMAZOLE,C1=CC=C(C=C1)C(C2=CC=CC=C2)(C3=CC=CC=C3Cl)N4C=CN=C4
97,DB00262,CARMUSTINE,C(CCl)NC(=O)N(CCCl)N=O
98,DB00264,METOPROLOL,CC(C)NCC(COC1=CC=C(C=C1)CCOC)O
99,DB00266,DICUMAROL,C1=CC=C2C(=C1)C(=C(C(=O)O2)CC3=C(C4=CC=CC=C4OC3=O)O)O
100,DB00268,ROPINIROLE,CCCN(CCC)CCC1=C2CC(=O)NC2=CC=C1
101,DB00271,DIATRIZOATE,CC(=O)NC1=C(C(=C(C(=C1I)C(=O)O)I)NC(=O)C)I
102,DB00275,OLMESARTAN,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O
103,DB00275,OLMESARTAN MEDOXOMIL,CCCC1=NC(=C(N1CC2=CC=C(C=C2)C3=CC=CC=C3C4=NNN=N4)C(=O)O)C(C)(C)O
104,DB00277,THEOPHYLLINE,CN1C2=C(C(=O)N(C1=O)C)NC=N2
105,DB00278,ARGATROBAN,CC1CCN(C(C1)C(=O)O)C(=O)C(CCCN=C(N)N)NS(=O)(=O)C2=CC=CC3=C2NCC(C3)C
106,DB00279,TRIIODOTHYRONINE,C1=CC(=C(C=C1OC2=C(C=C(C=C2I)CC(C(=O)O)N)I)I)O
107,DB00281,LIDOCAINE,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
108,DB05291,LIDOCAINE,CCN(CC)CC(=O)NC1=C(C=CC=C1C)C
109,DB00282,PAMIDRONATE,C(CN)C(O)(P(=O)(O)O)P(=O)(O)O
110,DB00284,ACARBOSE,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC3C(OC(C(C3O)O)O)CO)CO)O)O)NC4C=C(C(C(C4O)O)O)CO
111,DB00286,ESTROGENS,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)[O-].[Na+]
112,DB00286,ESTRONE SULFATE,CC12CCC3C(C1CCC2=O)CCC4=C3C=CC(=C4)OS(=O)(=O)[O-].[Na+]
113,DB00289,ATENOLOL,CC1=CC=CC=C1OC(CCNC)C2=CC=CC=C2
114,DB00290,BLEOMYCIN,CC1=C(N=C(N=C1N)C(CC(=O)N)NCC(C(=O)N)N)C(=O)NC(C(C2=CN=CN2)OC3C(C(C(C(O3)CO)O)O)OC4C(C(C(C(O4)CO)O)OC(=O)N)O)C(=O)NC(C)C(C(C)C(=O)NC(C(C)O)C(=O)NCCC5=NC(=CS5)C6=NC(=CS6)C(=O)NCCC[S+](C)C)O
115,DB00295,MORPHINE,CN1CCC23C4C1CC5=C2C(=C(C=C5)O)OC3C(C=C4)O
116,DB00296,ROPIVACAINE,CCCN1CCCCC1C(=O)NC2=C(C=CC=C2C)C
117,DB00300,TENOFOVIR,CC(CN1C=NC2=C(N=CN=C21)N)OCP(=O)(O)O
118,DB00301,FLOXACILLIN,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O
119,DB00301,SESAMOL,CC1=C(C(=NO1)C2=C(C=CC=C2Cl)F)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O
120,DB00305,MITOMYCIN,CC1=C(C(=O)C2=C(C1=O)N3CC4C(C3(C2COC(=O)N)OC)N4)N
121,DB00307,MASOPROCOL,CC1=CC2=C(C=C1C(=C)C3=CC=C(C=C3)C(=O)O)C(CCC2(C)C)(C)C
122,DB00310,CLODRONIC ACID,C1=CC=C2C(=C1)C(=O)NC2(C3=CC(=C(C=C3)Cl)S(=O)(=O)N)O
123,DB00312,PENTOBARBITAL,CCCC(C)C1(C(=O)NC(=O)NC1=O)CC
124,DB00313,VALPROIC ACID,CCCC(CCC)C(=O)O
125,DB00316,ACETAMINOPHEN,CC(=O)NC1=CC=C(C=C1)O
126,DB00316,CROCIN,CC(=O)NC1=CC=C(C=C1)O
127,DB00317,GEFITINIB,COC1=C(C=C2C(=C1)N=CN=C2NC3=CC(=C(C=C3)F)Cl)OCCCN4CCOCC4
128,DB00318,CODEINE,CN1CCC23C4C1CC5=C2C(=C(C=C5)OC)OC3C(C=C4)O
129,DB00319,PIPERACILLIN,CCN1CCN(C(=O)C1=O)C(=O)NC(C2=CC=CC=C2)C(=O)NC3C4N(C3=O)C(C(S4)(C)C)C(=O)O
130,DB00321,AMITRIPTYLINE,CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C31
131,DB00328,INDOMETHACIN,CC1=C(C2=C(N1C(=O)C3=CC=C(C=C3)Cl)C=CC(=C2)OC)CC(=O)O
132,DB00330,ETHAMBUTOL,CCC(CO)NCCNC(CC)CO
133,DB00331,METFORMIN,CN(C)C(=N)N=C(N)N
134,DB00333,METHADONE,CCC(=O)C(CC(C)N(C)C)(C1=CC=CC=C1)C2=CC=CC=C2
135,DB00335,ATENOLOL,CC(C)NCC(COC1=CC=C(C=C1)CC(=O)N)O
136,DB00336,NITROFURAZONE,C1=C(OC(=C1)[N+](=O)[O-])C=NNC(=O)N
137,DB00337,PIMECROLIMUS,CCC1C=C(CC(CC(C2C(CC(C(O2)(C(=O)C(=O)N3CCCCC3C(=O)OC(C(C(CC1=O)O)C)C(=CC4CCC(C(C4)OC)Cl)C)O)C)OC)OC)C)C
138,DB00338,OMEPRAZOLE,CC1=CN=C(C(=C1OC)C)CS(=O)C2=NC3=C(N2)C=C(C=C3)OC
139,DB00341,CETIRIZINE,C1CN(CCN1CCOCC(=O)O)C(C2=CC=CC=C2)C3=CC=C(C=C3)Cl
140,DB00342,TERFENADINE,CC(C)(C)C1=CC=C(C=C1)C(CCCN2CCC(CC2)C(C3=CC=CC=C3)(C4=CC=CC=C4)O)O
141,DB00345,POLYCYCLIC AROMATIC HYDROCARBONS,C1=CC(=CC=C1C(=O)NCC(=O)O)N
142,DB00350,PIROXICAM,C1CCN(CC1)C2=NC(=N)N(C(=C2)N)O
143,DB00354,PIPERAZINE,CC(C)(C)C1=CC=C(C=C1)CN2CCN(CC2)C(C3=CC=CC=C3)C4=CC=C(C=C4)Cl
144,DB00358,MEFLOQUINE,C1CCNC(C1)C(C2=CC(=NC3=C2C=CC=C3C(F)(F)F)C(F)(F)F)O
145,DB00359,SULFADIAZINE,C1=CN=C(N=C1)NS(=O)(=O)C2=CC=C(C=C2)N
146,DB00361,VINORELBINE,CCC1=CC2CC(C3=C(CN(C2)C1)C4=CC=CC=C4N3)(C5=C(C=C6C(=C5)C78CCN9C7C(C=CC9)(C(C(C8N6C)(C(=O)OC)O)OC(=O)C)CC)OC)C(=O)OC
147,DB00367,LEVONORGESTREL,CCC12CCC3C(C1CCC2(C#C)O)CCC4=CC(=O)CCC34
148,DB00368,NOREPINEPHRINE,C1=CC(=C(C=C1C(CN)O)O)O
149,DB00370,INDOMETHACIN,CN1CCN2C(C1)C3=CC=CC=C3CC4=C2N=CC=C4
150,DB00378,DYDROGESTERONE,CC(=O)C1CCC2C1(CCC3C2C=CC4=CC(=O)CCC34C)C
151,DB00379,MEXILETINE,CC1=C(C(=CC=C1)C)OCC(C)N
152,DB00380,RAZOXANE,CC(CN1CC(=O)NC(=O)C1)N2CC(=O)NC(=O)C2
153,DB00381,AMLEXANOX,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
154,DB00381,AMLODIPINE,CCOC(=O)C1=C(NC(=C(C1C2=CC=CC=C2Cl)C(=O)OC)C)COCCN
155,DB00382,TACRINE,C1CCC2=NC3=CC=CC=C3C(=C2C1)N
156,DB00388,PHENYLEPHRINE,CNCC(C1=CC(=CC=C1)O)O
157,DB00390,APIGENIN,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
158,DB00390,DIGOXIN,CC1C(C(CC(O1)OC2C(OC(CC2O)OC3C(OC(CC3O)OC4CCC5(C(C4)CCC6C5CC(C7(C6(CCC7C8=CC(=O)OC8)O)C)O)C)C)C)O)O
159,DB00393,NIMODIPINE,CC1=C(C(C(=C(N1)C)C(=O)OC(C)C)C2=CC(=CC=C2)[N+](=O)[O-])C(=O)OCCOC
160,DB00394,BECLOMETHASONE,CCC(=O)OCC(=O)C1(C(CC2C1(CC(C3(C2CCC4=CC(=O)C=CC43C)Cl)O)C)C)OC(=O)CC
161,DB00396,PROGESTERONE,CC(=O)C1CCC2C1(CCC3C2CCC4=CC(=O)CCC34C)C
162,DB00398,SORAFENIB,CNC(=O)C1=NC=CC(=C1)OC2=CC=C(C=C2)NC(=O)NC3=CC(=C(C=C3)Cl)C(F)(F)F
163,DB00399,ZOLEDRONIC ACID,C1=CN(C=N1)CC(O)(P(=O)(O)O)P(=O)(O)O
164,DB00400,GRISEOFULVIN,CC1CC(=O)C=C(C12C(=O)C3=C(O2)C(=C(C=C3OC)OC)Cl)OC
165,DB00403,CERULETIDE,CC(C(C(=O)NCC(=O)NC(CC1=CNC2=CC=CC=C21)C(=O)NC(CCSC)C(=O)NC(CC(=O)O)C(=O)NC(CC3=CC=CC=C3)C(=O)N)NC(=O)C(CC4=CC=C(C=C4)OS(=O)(=O)O)NC(=O)C(CC(=O)O)NC(=O)C(CCC(=O)N)NC(=O)C5CCC(=O)N5)O
166,DB00404,ALPRAZOLAM,CC1=NN=C2N1C3=C(C=C(C=C3)Cl)C(=NC2)C4=CC=CC=C4
167,DB00407,CERTOPARIN,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
168,DB00407,DALTEPARIN,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
169,DB00407,HEPARIN,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
170,DB00407,"HEPARIN, LOW-MOLECULAR-WEIGHT",CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
171,DB01225,CERTOPARIN,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
172,DB01225,DALTEPARIN,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
173,DB01225,HEPARIN,CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
174,DB01225,"HEPARIN, LOW-MOLECULAR-WEIGHT",CC(=O)NC1C(C(C(OC1O)COS(=O)(=O)O)OC2C(C(C(C(O2)C(=O)O)OC3C(C(C(C(O3)CO)OC4C(C(C(C(O4)C(=O)O)O)O)OS(=O)(=O)O)OS(=O)(=O)O)NS(=O)(=O)O)O)OS(=O)(=O)O)O
175,DB00411,CARBACHOL,C[N+](C)(C)CCOC(=N)[O-].Cl
176,DB00412,ROSIGLITAZONE,CN(CCOC1=CC=C(C=C1)CC2C(=O)NC(=O)S2)C3=CC=CC=N3
177,DB00415,AMPICILLIN,CC1(C(N2C(S1)C(C2=O)NC(=O)C(C3=CC=CC=C3)N)C(=O)O)C
178,DB00417,PENICILLIN V,CC1(C(N2C(S1)C(C2=O)NC(=O)COC3=CC=CC=C3)C(=O)O)C
179,DB00421,SPIRONOLACTONE,CC(=O)SC1CC2=CC(=O)CCC2(C3C1C4CCC5(C4(CC3)C)CCC(=O)O5)C
180,DB00422,METHYLPHENIDATE,COC(=O)C(C1CCCCN1)C2=CC=CC=C2
181,DB00424,ATROPINE,CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3
182,DB00427,TRIPROLIDINE,CC1=CC=C(C=C1)C(=CCN2CCCC2)C3=CC=CC=N3
183,DB00428,STREPTOZOCIN,CN(C(=O)NC1C(C(C(OC1O)CO)O)O)N=O
184,DB00431,HEXACHLOROCYCLOHEXANE,C1(C(C(C(C(C1Cl)Cl)Cl)Cl)Cl)Cl
185,DB00435,NITRIC OXIDE,[N]=O
186,DB00439,CERIVASTATIN,CC(C)C1=C(C(=C(C(=N1)C(C)C)COC)C2=CC=C(C=C2)F)C=CC(CC(CC(=O)O)O)O
187,DB00440,TRIMETHOPRIM,COC1=CC(=CC(=C1OC)OC)CC2=CN=C(N=C2N)N
188,DB00441,GEMCITABINE,C1=CN(C(=O)N=C1N)C2C(C(C(O2)CO)O)(F)F
189,DB00443,BETAMETHASONE,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
190,DB00443,BETAMETHASONE VALERATE,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
191,DB00443,DEXAMETHASONE,CC1CC2C3CCC4=CC(=O)C=CC4(C3(C(CC2(C1(C(=O)CO)O)C)O)F)C
192,DB00445,DOXORUBICIN,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
193,DB00445,EPIRUBICIN,CC1C(C(CC(O1)OC2CC(CC3=C2C(=C4C(=C3O)C(=O)C5=C(C4=O)C(=CC=C5)OC)O)(C(=O)CO)O)N)O
194,DB00448,LANSOPRAZOLE,CC1=C(C=CN=C1CS(=O)C2=NC3=CC=CC=C3N2)OCC(F)(F)F
195,DB00451,THYROXINE,C1=C(C=C(C(=C1I)OC2=CC(=C(C(=C2)I)O)I)I)CC(C(=O)O)N
196,DB00452,NEOMYCIN,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N
197,DB00994,NEOMYCIN,C1C(C(C(C(C1N)OC2C(C(C(C(O2)CN)O)O)N)OC3C(C(C(O3)CO)OC4C(C(C(C(O4)CN)O)O)N)O)O)N
198,DB00457,PRAZOSIN,COC1=C(C=C2C(=C1)C(=NC(=N2)N3CCN(CC3)C(=O)C4=CC=CO4)N)OC
199,DB00458,IMIPRAMINE,CN(C)CCCN1C2=CC=CC=C2CCC3=CC=CC=C31
200,DB00460,VERTEPORFIN,CC1=C(C2=CC3=NC(=CC4=C(C(=C(N4)C=C5C6(C(C(=CC=C6C(=N5)C=C1N2)C(=O)OC)C(=O)OC)C)C)CCC(=O)OC)C(=C3C)CCC(=O)O)C=C
201,DB00465,KETOROLAC,C1CN2C(=CC=C2C(=O)C3=CC=CC=C3)C1C(=O)O
